Ticker,Role Name,Role Rank,Role Rank Name,Total Pay,Base Pay,Stock,Bonus
SBUX,customer-service,1,24,33600.0,33600.0,0.0,0.0
SBUX,customer-service,2,25,,,,
SBUX,customer-service,3,26,,,,
SBUX,customer-service,4,27,,,,
SBUX,customer-service,5,28,,,,
SBUX,product-manager,1,24,138000.0,135000.0,0.0,3000.0
SBUX,product-manager,2,25,135000.0,126700.0,5000.0,3300.0
SBUX,product-manager,3,26,171500.0,145200.0,12000.0,14300.0
SBUX,product-manager,4,27,192200.0,165000.0,14200.0,13000.0
SBUX,product-manager,5,28,,,,
SBUX,human-resources,1,24,,,,
SBUX,human-resources,2,25,,,,
SBUX,human-resources,3,26,188000.0,160300.0,12000.0,15800.0
SBUX,human-resources,4,27,,,,
SBUX,human-resources,5,28,,,,
SBUX,data-scientist,1,"24
Data Scientist 1",122300.0,116700.0,2800.0,2800.0
SBUX,data-scientist,2,"25
Data Scientist 2",151800.0,133400.0,6600.0,11800.0
SBUX,data-scientist,3,"26
Senior Data Scientist",187200.0,160300.0,9300.0,17500.0
SBUX,data-scientist,4,"27
Lead Data Scientist",186300.0,158800.0,11700.0,15800.0
SBUX,data-scientist,5,"28
Principal Data Scientist",214000.0,182500.0,13000.0,18500.0
SBUX,business-analyst,1,"24
Business Analyst 1",123700.0,116700.0,3000.0,4000.0
SBUX,business-analyst,2,"25
Business Analyst 2",147800.0,126000.0,9300.0,12400.0
SBUX,business-analyst,3,"26
Senior Business Analyst",130900.0,120000.0,1300.0,9700.0
SBUX,business-analyst,4,"27
Lead Business Analyst",,,,
SBUX,business-analyst,5,"28
Principal Business Analyst",,,,
SBUX,administrative-assistant,1,24,73900.0,73900.0,0.0,0.0
SBUX,administrative-assistant,2,25,,,,
SBUX,administrative-assistant,3,26,,,,
SBUX,administrative-assistant,4,27,,,,
SBUX,administrative-assistant,5,28,,,,
SBUX,product-designer,1,24,103000.0,103000.0,0.0,0.0
SBUX,product-designer,2,25,,,,
SBUX,product-designer,3,26,174800.0,148800.0,13500.0,12500.0
SBUX,product-designer,4,27,,,,
SBUX,product-designer,5,28,,,,
TRI,software-engineer,1,"TR7
Associate Software Engineer
(Entry Level)",80200.0,78500.0,538.0,1200.0
TRI,software-engineer,2,"TR6
Software Engineer",76500.0,73000.0,0.0,3500.0
TRI,software-engineer,3,"TR5
Senior Software Engineer",103300.0,94000.0,1200.0,8100.0
TRI,software-engineer,4,"TR4
Lead Software Engineer",120000.0,106600.0,92.0,13300.0
TRI,software-engineer,5,"TR3
Principal Software Engineer",,,,
TRI,software-engineer,6,"TR2
Distinguished Engineer",,,,
TRI,product-manager,1,Associate Product Manager,76300.0,76300.0,0.0,0.0
TRI,product-manager,2,Product Manager,101700.0,95100.0,0.0,6600.0
TRI,product-manager,3,Senior Product Manager,,,,
TRI,product-manager,4,Director,170600.0,136900.0,5800.0,27800.0
TRI,product-manager,5,Senior Director,,,,
TRI,product-manager,6,VP,,,,
TRI,product-manager,7,CPO,,,,
TRI,ux-researcher,,Intermediate,63700.0,63700.0,0.0,0.0
TRI,data-scientist,1,TR7,,,,
TRI,data-scientist,2,TR6,,,,
TRI,data-scientist,3,TR5,119400.0,101400.0,1800.0,16100.0
TRI,data-scientist,4,TR4,136400.0,115900.0,1300.0,19300.0
TRI,data-scientist,5,TR3,,,,
TRI,software-engineering-manager,,-,138000.0,121000.0,0.0,17000.0
TRI,business-operations,,,158550.0,,,
INTC,software-engineer,1,"Grade 3
(Entry Level)",137800.0,112600.0,22900.0,2300.0
INTC,software-engineer,2,Grade 5,136400.0,120600.0,9000.0,6800.0
INTC,software-engineer,3,Grade 6,167900.0,142200.0,20600.0,5100.0
INTC,software-engineer,4,Grade 7,198100.0,163200.0,31800.0,3100.0
