ticker,start_date,end_date,sentiment_score
AAPL,2022-01-01,2022-01-07,0
MSFT,2022-01-01,2022-01-07,0
GOOG,2022-01-01,2022-01-07,-0.26
AMZN,2022-01-01,2022-01-07,0.0
TSLA,2022-01-01,2022-01-07,0
META,2022-01-01,2022-01-07,0
NVDA,2022-01-01,2022-01-07,0
NFLX,2022-01-01,2022-01-07,0
PEP,2022-01-01,2022-01-07,0
ADBE,2022-01-01,2022-01-07,0
INTC,2022-01-01,2022-01-07,0.95
CSCO,2022-01-01,2022-01-07,0.34
CMCSA,2022-01-01,2022-01-07,0
AVGO,2022-01-01,2022-01-07,0
PYPL,2022-01-01,2022-01-07,0
TXN,2022-01-01,2022-01-07,0
COST,2022-01-01,2022-01-07,0
QCOM,2022-01-01,2022-01-07,0
AMGN,2022-01-01,2022-01-07,0
SBUX,2022-01-01,2022-01-07,0.34
AMD,2022-01-01,2022-01-07,-0.15
HON,2022-01-01,2022-01-07,0
GILD,2022-01-01,2022-01-07,-0.02
ISRG,2022-01-01,2022-01-07,0
BKNG,2022-01-01,2022-01-07,0
ADP,2022-01-01,2022-01-07,0
MDLZ,2022-01-01,2022-01-07,0
VRTX,2022-01-01,2022-01-07,0
REGN,2022-01-01,2022-01-07,0
LRCX,2022-01-01,2022-01-07,0
FISV,2022-01-01,2022-01-07,0
INTU,2022-01-01,2022-01-07,0
MRNA,2022-01-01,2022-01-07,0.0
MU,2022-01-01,2022-01-07,0
ZM,2022-01-01,2022-01-07,0
IDXX,2022-01-01,2022-01-07,0
ASML,2022-01-01,2022-01-07,0
ATVI,2022-01-01,2022-01-07,0
KHC,2022-01-01,2022-01-07,0.51
BIIB,2022-01-01,2022-01-07,0
MELI,2022-01-01,2022-01-07,0.0
DOCU,2022-01-01,2022-01-07,0
ADSK,2022-01-01,2022-01-07,0.0
EA,2022-01-01,2022-01-07,0
WDAY,2022-01-01,2022-01-07,0
SNPS,2022-01-01,2022-01-07,0
ILMN,2022-01-01,2022-01-07,0.44
ROST,2022-01-01,2022-01-07,0
CTAS,2022-01-01,2022-01-07,0
EBAY,2022-01-01,2022-01-07,0
KLAC,2022-01-01,2022-01-07,0.16
MNST,2022-01-01,2022-01-07,0
CDNS,2022-01-01,2022-01-07,0
CTSH,2022-01-01,2022-01-07,0
ORLY,2022-01-01,2022-01-07,0
DLTR,2022-01-01,2022-01-07,0
LULU,2022-01-01,2022-01-07,0.77
FAST,2022-01-01,2022-01-07,0
XEL,2022-01-01,2022-01-07,0
CTXS,2022-01-01,2022-01-07,0.25
NXPI,2022-01-01,2022-01-07,0.34
PCAR,2022-01-01,2022-01-07,0
SIRI,2022-01-01,2022-01-07,0
MAR,2022-01-01,2022-01-07,0
SGEN,2022-01-01,2022-01-07,0
EXC,2022-01-01,2022-01-07,0.37
ODFL,2022-01-01,2022-01-07,0
PAYX,2022-01-01,2022-01-07,0
ALGN,2022-01-01,2022-01-07,0
SWKS,2022-01-01,2022-01-07,0.0
TEAM,2022-01-01,2022-01-07,0
WBA,2022-01-01,2022-01-07,0
ADI,2022-01-01,2022-01-07,0
VRSK,2022-01-01,2022-01-07,0
CDW,2022-01-01,2022-01-07,0
BIDU,2022-01-01,2022-01-07,-0.06
CHTR,2022-01-01,2022-01-07,0
VRSN,2022-01-01,2022-01-07,0
INCY,2022-01-01,2022-01-07,0
WDAY,2022-01-01,2022-01-07,0
ANSS,2022-01-01,2022-01-07,0
CPRT,2022-01-01,2022-01-07,0
UAL,2022-01-01,2022-01-07,0
TTWO,2022-01-01,2022-01-07,0
REG,2022-01-01,2022-01-07,0
