Ticker,2022,2023,2024,2025
NVDA,14.600198745727539,49.4971809387207,134.26075744628906,185.0399932861328
MSFT,234.65843200683594,371.2091369628906,419.1965637207031,523.97998046875
AAPL,128.12306213378906,190.9136505126953,249.5341796875,256.4800109863281
AMZN,84.0,151.94000244140625,219.38999938964844,221.77999877929688
META,119.60267639160156,351.79132080078125,584.1455078125,713.0800170898438
AVGO,53.5614128112793,109.36397552490234,230.20339965820312,336.4100036621094
GOOGL,87.6256332397461,138.733154296875,188.6848602294922,245.75999450683594
GOOG,88.1269302368164,139.97213745117188,189.8252410888672,247.1300048828125
TSLA,123.18000030517578,248.47999572753906,403.8399963378906,433.0899963378906
NFLX,294.8800048828125,486.8800048828125,891.3200073242188,1191.06005859375
PLTR,6.420000076293945,17.170000076293945,75.62999725341797,182.1699981689453
COST,438.7566223144531,653.7643432617188,912.8031616210938,914.7999877929688
ASML,532.585693359375,745.1043090820312,687.7378540039062,1002.2999877929688
AMD,64.7699966430664,147.41000366210938,120.79000091552734,211.50999450683594
CSCO,43.64058303833008,47.69737243652344,57.71173095703125,68.98999786376953
AZN,63.63212585449219,64.54830932617188,64.15117645263672,85.87000274658203
TMUS,135.92491149902344,156.3426971435547,218.41587829589844,227.67999267578125
LIN,314.78497314453125,401.8445739746094,414.6289978027344,470.3699951171875
APP,10.529999732971191,39.849998474121094,323.8299865722656,631.8499755859375
SHOP,34.709999084472656,77.9000015258789,106.33000183105469,161.27999877929688
MU,49.283447265625,84.7336196899414,83.91897583007812,185.69000244140625
PEP,165.230712890625,159.7940216064453,147.64710998535156,140.7899932861328
PDD,81.55000305175781,146.30999755859375,96.98999786376953,133.47999572753906
INTU,382.28143310546875,618.3655395507812,625.5155029296875,657.989990234375
QCOM,103.22998809814453,139.4364776611328,151.02427673339844,165.4600067138672
LRCX,40.79970169067383,76.9600830078125,71.69234466552734,140.35000610351562
INTC,25.485862731933594,49.58590316772461,20.049999237060547,37.16999816894531
BKNG,1986.62939453125,3496.7900390625,4941.2109375,5242.0
ARM,,75.1449966430664,123.36000061035156,159.34500122070312
AMAT,94.97503662109375,159.53253173828125,161.33380126953125,211.55999755859375
TXN,152.20416259765625,161.95896911621094,183.23460388183594,177.0500030517578
AMGN,240.3313751220703,272.6903381347656,254.22393798828125,295.5400085449219
ISRG,265.3500061035156,337.3599853515625,521.9600219726562,440.94000244140625
ADBE,336.5299987792969,596.5999755859375,444.67999267578125,348.30999755859375
GILD,77.7625503540039,76.21288299560547,90.4513931274414,116.77999877929688
PANW,69.7699966430664,147.44000244140625,181.9600067138672,211.0399932861328
KLAC,366.7126159667969,572.2529296875,625.8280029296875,1084.739990234375
HON,202.10362243652344,202.14187622070312,222.3876190185547,208.97999572753906
CRWD,105.29000091552734,255.32000732421875,342.1600036621094,484.6199951171875
ADP,225.02410888671875,224.46356201171875,288.2336730957031,292.94000244140625
DASH,48.81999969482422,98.88999938964844,167.75,276.7799987792969
ADI,156.2617645263672,192.75860595703125,209.75131225585938,233.75
CMCSA,31.780105590820312,41.02074432373047,36.16373825073242,30.600000381469727
CEG,84.21054077148438,115.56973266601562,222.7189178466797,358.1600036621094
MELI,846.239990234375,1571.5400390625,1700.43994140625,2187.570068359375
VRTX,288.7799987792969,406.8900146484375,402.70001220703125,410.2799987792969
CDNS,160.63999938964844,272.3699951171875,300.4599914550781,345.4800109863281
MSTR,14.156999588012695,63.1619987487793,289.6199951171875,328.3999938964844
SBUX,92.90907287597656,91.80797576904297,89.53221130371094,81.29000091552734
SNPS,319.2900085449219,514.9099731445312,485.3599853515625,477.8299865722656
ORLY,56.2686653137207,63.33866882324219,79.05332946777344,101.8499984741211
MDLZ,62.05366516113281,68.9869384765625,58.43389129638672,62.599998474121094
CTAS,110.22054290771484,148.6022186279297,181.65203857421875,199.1699981689453
MRVL,36.624839782714844,59.9481201171875,110.17848205566406,86.97000122070312
ABNB,85.5,136.13999938964844,131.41000366210938,119.8499984741211
MAR,144.8153076171875,221.6505584716797,276.8961486816406,267.45001220703125
PYPL,71.22000122070312,61.40999984741211,85.3499984741211,74.61000061035156
TRI,109.88648223876953,142.84605407714844,158.7652587890625,151.5399932861328
CSX,29.765554428100586,33.786678314208984,31.87857437133789,35.9900016784668
ADSK,186.8699951171875,243.47999572753906,295.57000732421875,314.19000244140625
MNST,50.76499938964844,57.61000061035156,52.560001373291016,68.1500015258789
FTNT,48.88999938964844,58.529998779296875,94.4800033569336,84.91999816894531
AEP,85.37907409667969,76.00765991210938,89.82679748535156,118.16000366210938
WDAY,167.3300018310547,276.05999755859375,258.0299987792969,233.1699981689453
REGN,718.41015625,874.5408935546875,709.2893676757812,583.239990234375
AXON,165.92999267578125,258.3299865722656,594.3200073242188,714.5999755859375
NXPI,150.05557250976562,222.67076110839844,204.9279022216797,219.5800018310547
ROP,424.5277099609375,538.8333740234375,516.6631469726562,510.57000732421875
FAST,22.06104278564453,31.17359733581543,35.39006805419922,47.45000076293945
DDOG,73.5,121.37999725341797,142.88999938964844,154.52000427246094
PCAR,59.96463394165039,92.95303344726562,103.00214385986328,96.68000030517578
IDXX,407.9599914550781,555.0499877929688,413.44000244140625,627.280029296875
EA,120.33491516113281,135.57870483398438,145.73910522460938,200.02000427246094
ROST,112.59754943847656,135.838134765625,149.95069885253906,150.33999633789062
XEL,63.70753479003906,58.18104553222656,65.34947967529297,81.8499984741211
TTWO,104.12999725341797,160.9499969482422,184.0800018310547,260.5
BKR,27.641021728515625,32.77642822265625,40.352264404296875,48.58000183105469
