Ticker,Company,City,State,Address,Market Cap,Total Revenue,Net Profit (TTM),Dividend Yield,Dividend Rate,Full-Time Employees,Sector,Industry,Trailing PE,Forward PE,Beta
GILD,"Gilead Sciences, Inc.",Foster City,CA,333 Lakeside Drive,145298489344,28863000576,6311000064,2.71,3.16,17600,Healthcare,Drug Manufacturers - General,23.234127,15.760431,0.354
PANW,"Palo Alto Networks, Inc.",Santa Clara,CA,3000 Tannery Way,141960134656,9221499904,1133900032,0.0,0.0,16068,Technology,Software - Infrastructure,131.90565,29.129168,0.974
KLAC,KLA Corporation,Milpitas,CA,One Technology Drive,130363080704,12156162048,4061643008,0.72,7.6,15000,Technology,Semiconductor Equipment & Materials,32.62904,30.16347,1.497
HON,Honeywell International Inc.,Charlotte,NC,855 South Mint Street,127782584320,39990001664,5717000192,2.24,4.58,102000,Industrials,Conglomerates,22.923143,18.280218,1.049
CRWD,"CrowdStrike Holdings, Inc.",Austin,TX,206 East 9th Street,124614279168,4341102080,-296985984,0.0,0.0,10047,Technology,Software - Infrastructure,N/A,116.2904,1.188
ADP,"Automatic Data Processing, Inc.",Roseland,NJ,One ADP Boulevard,116041932800,20560900096,4079699968,2.15,6.16,67000,Technology,Software - Application,28.703407,26.353266,0.825
DASH,"DoorDash, Inc.",San Francisco,CA,South Tower,115158908928,11895000064,781000000,0.0,0.0,23700,Consumer Cyclical,Internet Retail,148.11539,151.44383,1.706
ADI,"Analog Devices, Inc.",Wilmington,MA,One Analog Way,111890341888,10386794496,1957676032,1.66,3.96,24000,Technology,Semiconductors,57.872772,30.164457,1.089
CMCSA,Comcast Corporation,Philadelphia,PA,One Comcast Center,108920094720,124184002560,22904999936,4.39,1.32,182000,Communication Services,Telecom Services,4.892205,6.73516,0.941
CEG,Constellation Energy Corporation,Baltimore,MD,1310 Point Street,116692852736,24820000768,3008999936,0.4,1.55,14215,Utilities,Utilities - Renewable,38.990604,41.735195,1.12
MELI,"MercadoLibre, Inc.",Montevideo,,WTC Free Zone,108120260608,24096000000,2052999936,0.0,0.0,84207,Consumer Cyclical,Internet Retail,52.658268,44.081436,1.464
