Date,Ticker,Close,Market Cap,Volume,Dividends,Stock Splits
2022-01-01 00:00:00-05:00,NVDA,27.19583511352539,662136997509.0027,2280890000,0.0,0.0
2022-01-08 00:00:00-05:00,NVDA,26.891403198242188,654724993667.6025,2318186000,0.0,0.0
2022-01-15 00:00:00-05:00,NVDA,23.330110549926758,568018201559.0668,2066724000,0.0,0.0
2022-01-22 00:00:00-05:00,NVDA,22.79711151123047,555041273963.9282,3451684000,0.0,0.0
2022-01-29 00:00:00-05:00,NVDA,24.273334503173828,590982875148.7732,2392031000,0.0,0.0
2022-02-05 00:00:00-05:00,NVDA,23.904024124145508,581991275350.5707,2430181000,0.0,0.0
2022-02-12 00:00:00-05:00,NVDA,23.59760284423828,574530836448.6694,3444819000,0.0,0.0
2022-02-19 00:00:00-05:00,NVDA,24.11163902282715,587046075288.7726,2464600000,0.0,0.0
2022-02-26 00:00:00-05:00,NVDA,22.892932891845703,557374237117.7673,2075527000,0.004,0.0
2022-03-05 00:00:00-05:00,NVDA,22.062259674072266,537149836284.63745,2296305000,0.0,0.0
2022-03-12 00:00:00-05:00,NVDA,26.407825469970703,642951326717.3767,2751432000,0.0,0.0
2022-03-19 00:00:00-04:00,NVDA,27.64470672607422,673065674659.729,3097249000,0.0,0.0
2022-03-26 00:00:00-04:00,NVDA,26.666385650634766,649246491436.0046,2418640000,0.0,0.0
2022-04-02 00:00:00-04:00,NVDA,23.079517364501953,561917009273.529,2620341000,0.0,0.0
2022-04-09 00:00:00-04:00,NVDA,21.221696853637695,516684653295.51697,2323505000,0.0,0.0
2022-04-16 00:00:00-04:00,NVDA,19.481670379638672,474320228733.06274,2788378000,0.0,0.0
2022-04-23 00:00:00-04:00,NVDA,18.515331268310547,450792770389.5569,2864931000,0.0,0.0
2022-04-30 00:00:00-04:00,NVDA,18.64310646057129,453903712995.5292,2956283000,0.0,0.0
2022-05-07 00:00:00-04:00,NVDA,17.67576026916504,430351735273.3612,3455261000,0.0,0.0
2022-05-14 00:00:00-04:00,NVDA,16.665489196777344,405754665473.938,3012852000,0.0,0.0
2022-05-21 00:00:00-04:00,NVDA,18.778879165649414,457209371046.0663,3744525000,0.0,0.0
2022-05-28 00:00:00-04:00,NVDA,18.68802833557129,454997425886.1542,2456049000,0.0,0.0
2022-06-04 00:00:00-04:00,NVDA,16.945016860961914,412560325513.8397,2035394000,0.004,0.0
2022-06-11 00:00:00-04:00,NVDA,15.856231689453125,386051672943.11523,2813852000,0.0,0.0
