Date,Ticker,Close,Market Cap,Volume,Dividends,Stock Splits,sentiment_score
2022-01-01,NVDA,27.195833206176758,662136951070.7855,2280890000,0.0,0.0,0.0
2022-01-08,NVDA,26.891407012939453,654725086544.0369,2318186000,0.0,0.0,0.0
2022-01-15,NVDA,23.33011245727539,568018247997.2839,2066724000,0.0,0.0,0.0
2022-01-22,NVDA,22.79711151123047,555041273963.9282,3451684000,0.0,0.0,0.0
2022-01-29,NVDA,24.273332595825195,590982828710.556,2392031000,0.0,0.0,0.0
2022-02-05,NVDA,23.90402603149414,581991321788.7878,2430181000,0.0,0.0,0.0
2022-02-12,NVDA,23.597604751586914,574530882886.8866,3444819000,0.0,0.0,0.0
2022-02-19,NVDA,24.111637115478516,587046028850.5554,2464600000,0.0,0.0,0.0
2022-02-26,NVDA,22.892932891845703,557374237117.7673,2075527000,0.004,0.0,0.0
2022-03-05,NVDA,22.0622615814209,537149882722.8546,2296305000,0.0,0.0,0.15
2022-03-12,NVDA,26.40782356262207,642951280279.1595,2751432000,0.0,0.0,0.0
2022-03-19,NVDA,27.64470863342285,673065721097.9462,3097249000,0.0,0.0,0.0
2022-03-26,NVDA,26.6663818359375,649246398559.5703,2418640000,0.0,0.0,0.0
2022-04-02,NVDA,23.07952117919922,561917102149.9634,2620341000,0.0,0.0,0.0
2022-04-09,NVDA,21.221696853637695,516684653295.51697,2323505000,0.0,0.0,0.0
2022-04-16,NVDA,19.481674194335938,474320321609.4971,2788378000,0.0,0.0,0.0
2022-04-23,NVDA,18.51532745361328,450792677513.12256,2864931000,0.0,0.0,0.0
2022-04-30,NVDA,18.64310646057129,453903712995.5292,2956283000,0.0,0.0,0.0
2022-05-07,NVDA,17.675764083862305,430351828149.79553,3455261000,0.0,0.0,-0.28
2022-05-14,NVDA,16.665491104125977,405754711912.15515,3012852000,0.0,0.0,0.0
2022-05-14,NVDA,16.665491104125977,405754711912.15515,3012852000,0.0,0.0,0.0
2022-05-21,NVDA,18.77887725830078,457209324607.8491,3744525000,0.0,0.0,0.0
2022-05-28,NVDA,18.688032150268555,454997518762.5885,2456049000,0.0,0.0,0.0
2022-06-04,NVDA,16.945016860961914,412560325513.8397,2035394000,0.004,0.0,0.0
2022-06-11,NVDA,15.856232643127441,386051696162.2238,2813852000,0.0,0.0,0.0
2022-06-18,NVDA,17.100364685058594,416342578987.1216,1856057000,0.0,0.0,0.0
2022-06-25,NVDA,14.501262664794922,353062242099.76196,2635149000,0.0,0.0,0.0
2022-07-02,NVDA,15.814297676086426,385030705519.6762,2141338000,0.0,0.0,0.0
2022-07-09,NVDA,15.738409996032715,383183068173.4085,2259892000,0.0,0.0,0.0
2022-07-16,NVDA,17.293079376220703,421034603572.84546,3227141000,0.0,0.0,0.0
2022-07-23,NVDA,18.135818481445312,441552772567.749,2358495000,0.0,0.0,0.0
2022-07-30,NVDA,18.960580825805664,461633261365.8905,2179862000,0.0,0.0,0.0
2022-08-06,NVDA,18.680994033813477,454826161741.2567,3234965000,0.0,0.0,0.0
2022-08-13,NVDA,17.82228660583496,433919211992.2638,2212740000,0.0,0.0,0.29
2022-08-20,NVDA,16.23566436767578,395289720359.80225,2842058000,0.0,0.0,-0.62
2022-08-27,NVDA,13.626575469970703,331766232967.3767,3522045000,0.0,0.0,-0.38
2022-09-03,NVDA,14.365466117858887,349756003571.5103,2159893000,0.004,0.0,0.0
2022-09-10,NVDA,13.182161331176758,320946081930.1605,2981998000,0.0,0.0,0.0
2022-09-17,NVDA,12.500982284545898,304361415681.839,3324653000,0.0,0.0,0.68
2022-09-24,NVDA,12.124431610107422,295193536411.2854,2742012000,0.0,0.0,0.0
2022-10-01,NVDA,12.06151008605957,293661586065.29236,2955426000,0.0,0.0,0.0
2022-10-08,NVDA,11.213526725769043,273015735192.2989,3422306000,0.0,0.0,0.53
2022-10-15,NVDA,12.451040267944336,303145477403.64075,3025159000,0.0,0.0,0.0
2022-10-22,NVDA,13.817399024963379,336412214060.7834,2660045000,0.0,0.0,0.0
2022-10-29,NVDA,14.139012336730957,344242533362.3886,2704427000,0.0,0.0,0.0
2022-11-05,NVDA,16.307411193847656,397036540336.6089,2816073000,0.0,0.0,0.0
2022-11-12,NVDA,15.390509605407715,374712737362.86163,2926241000,0.0,0.0,0.0
2022-11-19,NVDA,16.25047492980957,395650313116.0736,1472780000,0.0,0.0,0.0
2022-11-26,NVDA,16.855749130249023,410386924074.173,2009789000,0.004,0.0,0.0
2022-12-03,NVDA,16.984941482543945,413532370275.49744,2058131000,0.0,0.0,0.36
2022-12-10,NVDA,16.555349349975586,403073090623.8556,2567579000,0.0,0.0,0.0
2022-12-17,NVDA,15.19163990020752,369870856650.3525,1996695000,0.0,0.0,-0.69
2022-12-24,NVDA,14.600198745727539,355471038862.2284,1481381000,0.0,0.0,0.0
2023-01-01,NVDA,14.844966888427734,361430408832.55005,1626813000,0.0,0.0,0.0
2023-01-08,NVDA,16.883041381835938,411051408523.5596,2240313000,0.0,0.0,0.0
2023-01-15,NVDA,17.822153091430664,433915961317.0624,1968625000,0.0,0.0,0.0
2023-01-22,NVDA,20.345766067504883,495358366445.5414,2632581000,0.0,0.0,0.0
2023-01-29,NVDA,21.0800724029541,513236522794.7235,2640747000,0.0,0.0,0.0
2023-02-05,NVDA,21.244915008544922,517249945713.0432,2750611000,0.0,0.0,0.0
2023-02-12,NVDA,21.367801666259766,520241867168.4265,2448882000,0.0,0.0,0.36
2023-02-19,NVDA,23.264009475708008,566408838705.0629,2630910000,0.0,0.0,0.0
2023-02-26,NVDA,23.8674373626709,581100497468.9484,2170791000,0.0,0.0,0.0
2023-03-05,NVDA,22.943313598632812,558600856185.9131,2442279000,0.004,0.0,0.86
2023-03-12,NVDA,25.70507049560547,625841351356.5063,2853086000,0.0,0.0,0.0
2023-03-19,NVDA,26.758251190185547,651483141727.4475,2797259000,0.0,0.0,0.1
2023-03-26,NVDA,27.755477905273438,675762620559.6924,1909273000,0.0,0.0,0.0
2023-04-02,NVDA,27.016050338745117,657759777597.4274,1679977000,0.0,0.0,0.0
2023-04-09,NVDA,26.73726463317871,650972182024.0021,1905191000,0.0,0.0,0.0
2023-04-16,NVDA,27.09798812866211,659754716968.5364,2057759000,0.0,0.0,0.0
2023-04-23,NVDA,27.727500915527344,675081464790.3442,1793523000,0.0,0.0,0.0
2023-04-30,NVDA,28.657777786254883,697730915761.9476,2039790000,0.0,0.0,0.0
2023-05-07,NVDA,28.31804084777832,689459340520.8588,1625569000,0.0,0.0,0.0
2023-05-14,NVDA,31.23977279663086,760594748279.5715,2398499000,0.0,0.0,0.0
2023-05-21,NVDA,38.91582489013672,947483588600.1587,3707980000,0.0,0.0,-0.13
2023-05-28,NVDA,39.296531677246094,956752656745.9106,3044585000,0.0,0.0,0.0
2023-06-04,NVDA,38.73996353149414,943201892101.2878,2142310000,0.004,0.0,0.23
2023-06-11,NVDA,42.663333892822266,1038724190288.5437,2966705000,0.0,0.0,0.0
2023-06-18,NVDA,42.180660247802734,1026972535053.2532,1778633000,0.0,0.0,0.0
2023-06-25,NVDA,42.273597717285156,1029235283622.7417,2520798000,0.0,0.0,0.0
2023-07-02,NVDA,42.474464416503906,1034125785148.6206,1181290000,0.0,0.0,0.61
2023-07-09,NVDA,45.438472747802734,1106290495990.7532,2383708000,0.0,0.0,0.74
2023-07-16,NVDA,44.27924728393555,1078066833621.9788,3008788000,0.0,0.0,0.0
2023-07-23,NVDA,46.71861267089844,1137458062698.3643,1882004000,0.0,0.0,0.57
2023-07-30,NVDA,44.64999771118164,1087093494274.1394,1705897000,0.0,0.0,0.0
2023-08-06,NVDA,40.82757568359375,994028985168.457,2288236000,0.0,0.0,-0.77
2023-08-13,NVDA,43.26992416381836,1053492843616.4856,2930412000,0.0,0.0,-0.22
2023-08-20,NVDA,45.98710632324219,1119648077651.9775,4308297000,0.0,0.0,0.07
2023-08-27,NVDA,48.4764289855957,1180255616512.2986,3114195000,0.0,0.0,0.33
2023-09-03,NVDA,45.54140090942383,1108796487941.742,1757722000,0.004,0.0,0.0
2023-09-10,NVDA,43.87413787841797,1068203634925.8423,2098505000,0.0,0.0,0.0
2023-09-17,NVDA,41.58549118041992,1012481953769.6838,2170415000,0.0,0.0,0.0
2023-09-24,NVDA,43.4733772277832,1058446315364.8376,2088801000,0.0,0.0,0.0
