Ticker,Name,Address,Country,State,Company Type,Sector,Industry,Founding Year,Employee Count,Employee Rating,CEO Approval Percentage,Latitude,Longitude
DASH,"DoorDash, Inc.",South Tower,United States,CA,Public,Consumer Cyclical,Internet Retail,2013.0,23700,3.6,71.0,50.8381456,4.3377163
ADI,"Analog Devices, Inc.",One Analog Way,United States,MA,Public,Technology,Semiconductors,1965.0,24000,3.8,82.0,42.5287601,-71.1435018
CMCSA,Comcast Corporation,One Comcast Center,United States,PA,Public,Communication Services,Telecom Services,1963.0,182000,3.8,76.0,33.8890701,-84.4683846
CEG,Constellation Energy Corporation,1310 Point Street,United States,MD,Public,Utilities,Utilities - Renewable,1999.0,14215,4.0,87.0,39.2804916,-76.5976024
MELI,"MercadoLibre, Inc.",WTC Free Zone,Argentina,,Private,Consumer Cyclical,Internet Retail,,84207,4.1,,-34.9027399,-56.134432
VRTX,Vertex Pharmaceuticals Incorporated,50 Northern Avenue,United States,MA,Public,Healthcare,Biotechnology,1989.0,6100,4.1,89.0,42.3535931,-71.0461764
CDNS,"Cadence Design Systems, Inc.",Building 5,United States,CA,Public,Technology,Software - Application,1988.0,13152,4.2,86.0,42.3320189,-71.092835
MSTR,Strategy Inc,1850 Towers Crescent Plaza,United States,VA,Subsidiary,Technology,Software - Application,1914.0,1512,3.8,63.0,38.916034800090834,-77.22066078797914
SBUX,Starbucks Corporation,2401 Utah Avenue South,United States,WA,Public,Consumer Cyclical,Restaurants,1971.0,361000,3.5,41.0,47.5807667,-122.3359179
SNPS,"Synopsys, Inc.",675 Almanor Avenue,United States,CA,Public,Technology,Software - Infrastructure,1986.0,20000,4.0,79.0,37.3980452,-122.0323385
ORLY,"O'Reilly Automotive, Inc.",233 South Patterson Avenue,United States,MO,Public,Consumer Cyclical,Auto Parts,1957.0,92810,3.2,57.0,37.2088686,-93.248021
MDLZ,"Mondelez International, Inc.",905 West Fulton Market,United States,IL,Public,Consumer Defensive,Confectioners,2012.0,90000,3.9,81.0,41.8864169,-87.6502131
CTAS,Cintas Corporation,6800 Cintas Boulevard,United States,OH,Public,Industrials,Specialty Business Services,1968.0,48300,3.7,80.0,39.337862,-84.2845783
MRVL,"Marvell Technology, Inc.",1000 North West Street,United States,DE,Public,Technology,Semiconductors,,7042,4.2,92.0,39.7471805,-75.5500972
ABNB,"Airbnb, Inc.",888 Brannan Street,United States,CA,Public,Consumer Cyclical,Travel Services,2008.0,7300,4.2,90.0,37.7719568,-122.4054484
MAR,"Marriott International, Inc.",7750 Wisconsin Avenue,United States,MD,Public,Consumer Cyclical,Lodging,1927.0,418000,3.9,83.0,38.9876218,-77.0954899
PYPL,"PayPal Holdings, Inc.",2211 North First Street,United States,CA,Public,Financial Services,Credit Services,1998.0,24400,3.6,56.0,37.3768714,-121.9228061
TRI,Thomson Reuters Corporation,19 Duncan Street,Canada,ON,Public,Industrials,Specialty Business Services,2008.0,26400,4.1,89.0,40.6013785,-74.0965957
CSX,CSX Corporation,500 Water Street,United States,FL,Public,Industrials,Railroads,1978.0,23500,3.7,82.0,30.325065301242876,-81.66404634595126
ADSK,"Autodesk, Inc.",One Market Street,United States,CA,Public,Technology,Software - Application,1982.0,15300,4.1,84.0,42.4639866,-70.9511468
MNST,Monster Beverage Corporation,1 Monster Way,United States,CA,Public,Consumer Defensive,Beverages - Non-Alcoholic,2002.0,5527,3.9,88.0,33.8866745,-117.5132333
FTNT,"Fortinet, Inc.",909 Kifer Road,United States,CA,Public,Technology,Software - Infrastructure,2000.0,14898,3.8,68.0,37.3741378,-121.9784065
AEP,"American Electric Power Company, Inc.",1 Riverside Plaza,United States,OH,Public,Utilities,Utilities - Regulated Electric,1906.0,16330,3.0,28.0,39.9650746,-83.0054418
WDAY,"Workday, Inc.",6110 Stoneridge Mall Road,United States,CA,Public,Technology,Software - Application,2005.0,19517,3.7,52.0,37.6986699,-121.9264412
REGN,"Regeneron Pharmaceuticals, Inc.",777 Old Saw Mill River Road,United States,NY,Public,Healthcare,Biotechnology,1988.0,15182,3.8,78.0,41.0783771,-73.8235844
AXON,"Axon Enterprise, Inc.",17800 North 85th Street,United States,AZ,Public,Industrials,Aerospace & Defense,1993.0,4100,4.0,92.0,47.6904061,-122.3313208
NXPI,NXP Semiconductors N.V.,60 High Tech Campus,Netherlands,,Public,Technology,Semiconductors,2006.0,33100,4.0,85.0,51.4088881,5.4603907
ROP,"Roper Technologies, Inc.",6496 University Parkway,United States,FL,Public,Technology,Software - Application,1860.0,18200,4.0,90.0,36.2018356,-80.2808425
FAST,Fastenal Company,2001 Theurer Boulevard,United States,MN,Public,Industrials,Industrial Distribution,1967.0,21807,3.4,80.0,44.0623172,-91.6836102
DDOG,"Datadog, Inc.",620 8th Avenue,United States,NY,Public,Technology,Software - Application,2010.0,6500,4.0,92.0,40.75568081350971,-73.98945030324698
