company name,company ticker,company location,role name,role rank,role level,total pay (USD),base pay (USD),stock (USD),bonus (USD),upper bound (USD),lower bound (USD),years at company,years of experience
pepsico,PEP,United States,product-manager,5,C3,157400,149100,0,8300,,,,
pepsico,PEP,United States,product-manager,6,C2,,,,,,,,
pepsico,PEP,United States,human-resources,1,C7,104800,96000,0,8800,,,,
pepsico,PEP,United States,human-resources,2,C6,,,,,,,,
pepsico,PEP,United States,human-resources,3,C5,,,,,,,,
pepsico,PEP,United States,human-resources,4,C4,,,,,,,,
pepsico,PEP,United States,human-resources,5,C3,,,,,,,,
pepsico,PEP,United States,human-resources,6,C2,,,,,,,,
pepsico,PEP,United States,financial-analyst,,C2,100000,100000,0,0,,,2-4 Years,5-10 Years
pepsico,PEP,United States,technical-program-manager,,L10,158000,150000,0,8000,,,2-4 Years,11+ Years
pepsico,PEP,United States,data-scientist,1,C7,100500,92500,0,8000,,,,
pepsico,PEP,United States,data-scientist,2,C6,,,,,,,,
pepsico,PEP,United States,data-scientist,3,C5,,,,,,,,
pepsico,PEP,United States,data-scientist,4,C4,,,,,,,,
pepsico,PEP,United States,data-scientist,5,C3,,,,,,,,
pepsico,PEP,United States,data-scientist,6,C2,,,,,,,,
pepsico,PEP,United States,marketing,,L9,130000,118000,0,12000,,,7 Years,10 Years
pepsico,PEP,United States,software-engineering-manager,1,C7,,,,,,,,
pepsico,PEP,United States,software-engineering-manager,2,C6,,,,,,,,
pepsico,PEP,United States,software-engineering-manager,3,C5,220700,204000,0,16700,,,,
pepsico,PEP,United States,software-engineering-manager,4,C4,,,,,,,,
pepsico,PEP,United States,software-engineering-manager,5,C3,,,,,,,,
pepsico,PEP,United States,software-engineering-manager,6,C2,,,,,,,,
pepsico,PEP,United States,product-designer,,C6,140000,130000,0,10000,,,2 Years,5 Years
airbnb,ABNB,United States,software-engineer,1,"G7
Software Engineer
(Entry Level)",186400,156900,23700,5900,,,,
airbnb,ABNB,United States,software-engineer,2,"G8
Software Engineer",309000,181200,106900,20900,,,,
airbnb,ABNB,United States,software-engineer,3,"G9
Senior Software Engineer",461000,234900,184300,41900,,,,
airbnb,ABNB,United States,software-engineer,4,"G10
Staff Software Engineer",604900,262800,284800,57300,,,,
airbnb,ABNB,United States,software-engineer,5,"G11
Senior Staff Software Engineer",836100,291200,466500,78400,,,,
airbnb,ABNB,United States,software-engineer,6,"G12
Principal Software Engineer",,,,,,,,
airbnb,ABNB,United States,software-engineer,7,"G13
Distinguished Engineer",,,,,,,,
airbnb,ABNB,United States,software-engineer,8,"G14
Fellow",,,,,,,,
airbnb,ABNB,United States,recruiter,1,G7,,,,,,,,
airbnb,ABNB,United States,recruiter,2,G8,189400,139300,35300,14800,,,,
airbnb,ABNB,United States,recruiter,3,G9,225900,161300,39300,25300,,,,
airbnb,ABNB,United States,recruiter,4,G10,,,,,,,,
airbnb,ABNB,United States,recruiter,5,G11,,,,,,,,
airbnb,ABNB,United States,product-manager,1,"L3
Associate Product Manager",,,,,,,,
airbnb,ABNB,United States,product-manager,2,"L4
Product Manager L4",291500,168800,95000,27800,,,,
airbnb,ABNB,United States,product-manager,3,"L5
Product Manager L5",433600,212900,190400,30300,,,,
airbnb,ABNB,United States,product-manager,4,"L6
Product Lead L6",523900,230200,251000,42600,,,,
airbnb,ABNB,United States,product-manager,5,"L7
Product Lead L7",724400,271700,381000,71800,,,,
airbnb,ABNB,United States,product-manager,6,"Director
GM",874800,315000,489800,70000,,,,
airbnb,ABNB,United States,financial-analyst,,10,301000,185000,70000,46000,,,1 Year,5 Years
airbnb,ABNB,United States,technical-program-manager,1,"L3
TPM",,,,,,,,
airbnb,ABNB,United States,technical-program-manager,2,"L4
TPM",192500,152500,30000,10000,,,,
airbnb,ABNB,United States,technical-program-manager,3,"L5
Senior TPM",349100,191000,123700,34500,,,,
airbnb,ABNB,United States,technical-program-manager,4,"L6
Staff TPM",498700,238400,218400,41900,,,,
airbnb,ABNB,United States,technical-program-manager,5,"L7
Senior Staff TPM",857100,277000,362500,217600,,,,
airbnb,ABNB,United States,technical-program-manager,6,"L8
Principal TPM",,,,,,,,
airbnb,ABNB,United States,data-scientist,1,"L3
G7",240600,158700,65099,16700,,,,
airbnb,ABNB,United States,data-scientist,2,"L4
G8",236800,165100,62100,9700,,,,
airbnb,ABNB,United States,data-scientist,3,"L5
G9",335800,210800,96300,28700,,,,
airbnb,ABNB,United States,data-scientist,4,"L6
G10",502200,227300,221000,53900,,,,
airbnb,ABNB,United States,data-scientist,5,"L7
G11",827000,283900,469000,74100,,,,
airbnb,ABNB,United States,data-scientist,6,"L8
G12",,,,,,,,
airbnb,ABNB,United States,business-analyst,1,"L3
Business Analyst",,,,,,,,
airbnb,ABNB,United States,business-analyst,2,"L4
Business Analyst",,,,,,,,
airbnb,ABNB,United States,business-analyst,3,"L5
Senior Business Analyst",194300,141700,52700,0,,,,
airbnb,ABNB,United States,business-analyst,4,"L6
Staff Business Analyst",306000,177500,85000,43500,,,,
airbnb,ABNB,United States,business-analyst,5,"L7
Senior Staff Business Analyst",150000,105000,40000,5000,,,,
airbnb,ABNB,United States,business-analyst,6,"L8
Principal Business Analyst",,,,,,,,
airbnb,ABNB,United States,marketing,,hidden,300000,200000,80000,20000,,,2-4 Years,11+ Years
airbnb,ABNB,United States,software-engineering-manager,1,"M0
Engineering Manager",,,,,,,,
airbnb,ABNB,United States,software-engineering-manager,2,"M1
Engineering Manager",614700,263300,308000,43400,,,,
airbnb,ABNB,United States,software-engineering-manager,3,"M2
Senior Engineering Manager",765100,281900,407900,75400,,,,
airbnb,ABNB,United States,software-engineering-manager,4,"M3
Director",,,,,,,,
airbnb,ABNB,United States,software-engineering-manager,5,"M4
Director",,,,,,,,
airbnb,ABNB,United States,product-designer,1,L6,303800,165000,121300,17500,,,,
airbnb,ABNB,United States,product-designer,2,L7,201300,144000,41000,16300,,,,
airbnb,ABNB,United States,product-designer,3,L8,211100,143400,64599,3100,,,,
airbnb,ABNB,United States,product-designer,4,"L9
Senior Product Designer",406100,195400,176500,34200,,,,
airbnb,ABNB,United States,product-designer,5,"L10
Staff Product Designer",462700,226000,191300,45400,,,,
airbnb,ABNB,United States,product-designer,6,"L11
Senior Staff Product Designer",705800,285500,336700,83700,,,,
airbnb,ABNB,United States,product-designer,7,"L12
Principal Product Designer",,,,,,,,
zscaler,ZS,United States,software-engineer,1,"Associate Software Engineer
(Entry Level)",220000,130000,90000,0,,,,
zscaler,ZS,United States,software-engineer,2,Software Engineer I,155000,122000,32400,0,,,,
zscaler,ZS,United States,software-engineer,3,Software Engineer II,179000,146000,30400,2300,,,,
zscaler,ZS,United States,software-engineer,4,Senior Software Engineer I,195000,150000,36200,8000,,,,
zscaler,ZS,United States,software-engineer,5,Senior Software Engineer II,221000,163000,48500,9700,,,,
zscaler,ZS,United States,software-engineer,6,Staff Software Engineer I,266000,179000,72300,15000,,,,
zscaler,ZS,United States,software-engineer,7,Staff Software Engineer II,347000,205000,119000,22700,,,,
zscaler,ZS,United States,software-engineer,8,Principal Software Engineer,424000,229000,166000,29100,,,,
zscaler,ZS,United States,software-engineer,9,Senior Principal Software Engineer,,,,,,,,
zscaler,ZS,United States,solution-architect,,L8,321000,225000,62500,33800,,,0 Years,20 Years
zscaler,ZS,United States,sales,1,Associate Sales,,,,,,,,
zscaler,ZS,United States,sales,2,Sales I,146000,115000,31900,0,,,,
zscaler,ZS,United States,sales,3,Sales II,,,,,,,,
zscaler,ZS,United States,sales,4,Senior Sales I,,,,,,,,
zscaler,ZS,United States,sales,5,Senior Sales II,,,,,,,,
zscaler,ZS,United States,sales,6,Staff Sales I,,,,,,,,
zscaler,ZS,United States,sales,7,Staff Sales II,,,,,,,,
zscaler,ZS,United States,sales,8,Principal Sales,,,,,,,,
zscaler,ZS,United States,sales,9,Senior Principal Sales,,,,,,,,
zscaler,ZS,United States,product-manager,1,Associate Product Manager,,,,,,,,
zscaler,ZS,United States,product-manager,2,Product Manager I,,,,,,,,
zscaler,ZS,United States,product-manager,3,Product Manager II,294000,270000,0,24000,,,,
zscaler,ZS,United States,product-manager,4,Senior Product Manager I,,,,,,,,
zscaler,ZS,United States,product-manager,5,Senior Product Manager II,,,,,,,,
zscaler,ZS,United States,product-manager,6,Staff Product Manager I,,,,,,,,
zscaler,ZS,United States,product-manager,7,Staff Product Manager II,,,,,,,,
zscaler,ZS,United States,product-manager,8,Principal Product Manager,384000,240000,108000,36000,,,,
zscaler,ZS,United States,product-manager,9,Senior Principal Product Manager,,,,,,,,
zscaler,ZS,United States,data-scientist,1,Associate Data Scientist,,,,,,,,
zscaler,ZS,United States,data-scientist,2,Data Scientist I,,,,,,,,
zscaler,ZS,United States,data-scientist,3,Data Scientist II,237000,158000,71300,8300,,,,
zscaler,ZS,United States,data-scientist,4,Senior Data Scientist I,,,,,,,,
zscaler,ZS,United States,data-scientist,5,Senior Data Scientist II,,,,,,,,
zscaler,ZS,United States,data-scientist,6,Staff Data Scientist I,,,,,,,,
zscaler,ZS,United States,data-scientist,7,Staff Data Scientist II,,,,,,,,
zscaler,ZS,United States,data-scientist,8,Principal Data Scientist,,,,,,,,
zscaler,ZS,United States,data-scientist,9,Senior Principal Data Scientist,,,,,,,,
zscaler,ZS,United States,program-manager,,-,171000,151000,20000,0,,,3 Years,9 Years
zscaler,ZS,United States,business-analyst,,,265000,,,,286000,244000,,
zscaler,ZS,United States,marketing,,Senior Marketing II,240000,200000,40000,0,,,2 Years,12 Years
zscaler,ZS,United States,technical-writer,,Associate Technical Writer,70000,70000,0,0,,,3 Years,3 Years
zscaler,ZS,United States,software-engineering-manager,,L3,435000,230000,180000,25000,,,5-10 Years,11+ Years
amazon,AMZN,United States,software-engineer,1,"SDE I
L4
(Entry Level)",178200,139800,29200,9300,,,,
amazon,AMZN,United States,software-engineer,2,"SDE II
L5",271400,172900,94600,3900,,,,
amazon,AMZN,United States,software-engineer,3,"SDE III
L6",407600,206600,201000,0,,,,
amazon,AMZN,United States,software-engineer,4,"Principal SDE
L7",659200,268700,372700,17900,,,,
amazon,AMZN,United States,software-engineer,5,"Senior Principal SDE
L8",1310000,308700,997700,0,,,,
amazon,AMZN,United States,software-engineer,6,"Distinguished Engineer
L10",1660000,305500,1330000,30000,,,,
amazon,AMZN,United States,solution-architect,1,"SA I
L4",163700,122800,23500,17400,,,,
amazon,AMZN,United States,solution-architect,2,"SA II
L5",231500,165000,64599,2000,,,,
amazon,AMZN,United States,solution-architect,3,"SA III
L6",308700,193800,109600,5300,,,,
amazon,AMZN,United States,solution-architect,4,"Principal SA
L7",435900,230500,200300,5000,,,,
amazon,AMZN,United States,solution-architect,5,"Sr. Principal SA
L8",,,,,,,,
amazon,AMZN,United States,sales,1,L4,128900,83100,28000,17800,,,,
amazon,AMZN,United States,sales,2,L5,179600,120400,41600,17600,,,,
amazon,AMZN,United States,sales,3,L6,250200,163400,68300,18500,,,,
amazon,AMZN,United States,sales,4,L7,329100,208600,120400,0,,,,
amazon,AMZN,United States,sales,5,L8,,,,,,,,
amazon,AMZN,United States,project-manager,1,L4,103700,84100,11800,7800,,,,
amazon,AMZN,United States,project-manager,2,L5,139100,112500,21100,5500,,,,
amazon,AMZN,United States,project-manager,3,L6,249700,168600,65400,15800,,,,
amazon,AMZN,United States,project-manager,4,L7,326900,174400,132600,20000,,,,
amazon,AMZN,United States,project-manager,5,L8,,,,,,,,
amazon,AMZN,United States,project-manager,6,L9,,,,,,,,
amazon,AMZN,United States,project-manager,7,L10,,,,,,,,
amazon,AMZN,United States,product-manager,1,"Product Manager
L5",191300,142900,44600,3800,,,,
amazon,AMZN,United States,product-manager,2,"Senior Product Manager
L6",301600,179300,120600,1700,,,,
amazon,AMZN,United States,product-manager,3,"Principal Product Manager
Senior Manager PM",442900,218700,211400,12800,,,,
amazon,AMZN,United States,product-manager,4,"Director
L8",801800,274900,492900,34000,,,,
amazon,AMZN,United States,product-manager,5,"VP
L10",1280000,253500,1020000,0,,,,
amazon,AMZN,United States,financial-analyst,1,"L4
Financial Analyst",97900,76000,13700,8200,,,,
amazon,AMZN,United States,financial-analyst,2,"L5
Senior Financial Analyst",130300,95900,24600,9800,,,,
amazon,AMZN,United States,financial-analyst,3,"L6
Finance Manager",187000,137500,43400,6100,,,,
amazon,AMZN,United States,financial-analyst,4,"L7
Senior Finance Manager",306100,180000,126100,0,,,,
amazon,AMZN,United States,financial-analyst,5,"L8
Director",480000,200000,280000,0,,,,
amazon,AMZN,United States,financial-analyst,6,"L9
VP",,,,,,,,
amazon,AMZN,United States,financial-analyst,7,"L10
CFO",,,,,,,,
amazon,AMZN,United States,technical-program-manager,1,"TPM I
L4",171200,131000,35500,4800,,,,
amazon,AMZN,United States,technical-program-manager,2,"TPM II
L5",216300,154200,56200,5900,,,,
amazon,AMZN,United States,technical-program-manager,3,"TPM III
L6",331700,183500,139600,8600,,,,
amazon,AMZN,United States,technical-program-manager,4,"Principal TPM
L7",463400,228100,235300,0,,,,
amazon,AMZN,United States,technical-program-manager,5,"Senior Principal TPM
L8",622500,205000,417500,0,,,,
amazon,AMZN,United States,data-scientist,1,"DS I
L4",186100,136300,32900,16900,,,,
amazon,AMZN,United States,data-scientist,2,"DS II
L5",264900,165400,89100,10400,,,,
amazon,AMZN,United States,data-scientist,3,"DS III
L6",384600,192400,173900,18400,,,,
amazon,AMZN,United States,data-scientist,4,"Principal DS
L7",623300,244200,318900,60200,,,,
amazon,AMZN,United States,data-scientist,5,"Senior Principal DS
L8",762500,325000,375000,62500,,,,
amazon,AMZN,United States,program-manager,1,"Program Manager I
L4",93200,75600,13900,3700,,,,
amazon,AMZN,United States,program-manager,2,"Program Manager II
L5",136200,107900,26400,1900,,,,
amazon,AMZN,United States,program-manager,3,"Program Manager III
L6",190800,140000,46200,4700,,,,
amazon,AMZN,United States,program-manager,4,"Principal Program Manager
L7",266100,172800,78400,15000,,,,
amazon,AMZN,United States,program-manager,5,"Senior Principal Program Manager
L8",384000,179000,205000,0,,,,
amazon,AMZN,United States,software-engineering-manager,1,"L5 SDM
Software Dev Manager",326300,193600,119200,13500,,,,
amazon,AMZN,United States,software-engineering-manager,2,L6 SDM,458800,230000,224900,3800,,,,
amazon,AMZN,United States,software-engineering-manager,3,"Senior SDM
L7",679700,266700,413000,0,,,,
amazon,AMZN,United States,software-engineering-manager,4,"Director
L8",1220000,310900,909800,0,,,,
amazon,AMZN,United States,software-engineering-manager,5,"VP
L10",1890000,350000,1540000,0,,,,
amazon,AMZN,United States,software-engineering-manager,6,"SVP
L11",,,,,,,,
paychex,PAYX,United States,software-engineer,1,"Software Engineer I
(Entry Level)",77400,77300,48,0,,,,
paychex,PAYX,United States,software-engineer,2,Software Engineer II,97800,97000,0,800,,,,
paychex,PAYX,United States,software-engineer,3,Software Engineer III,111000,108000,3100,429,,,,
paychex,PAYX,United States,software-engineer,4,Software Engineer IV,131000,126000,5300,417,,,,
paychex,PAYX,United States,software-engineer,5,Software Engineer V,,,,,,,,
paychex,PAYX,United States,cybersecurity-analyst,,,40200,,,,43600,36800,,
paychex,PAYX,United States,sales,1,Sales I,69500,69500,0,0,,,,
paychex,PAYX,United States,sales,2,Sales II,65500,62000,0,3500,,,,
paychex,PAYX,United States,sales,3,Sales III,,,,,,,,
paychex,PAYX,United States,sales,4,Sales IV,,,,,,,,
paychex,PAYX,United States,sales,5,Sales V,,,,,,,,
paychex,PAYX,United States,information-technologist-it,,,90450,,,,99000,81900,,
paychex,PAYX,United States,customer-service-operations,,,52900,,,,57200,48600,,
paychex,PAYX,United States,product-manager,,,27400,,,,29200,25600,,
paychex,PAYX,United States,financial-analyst,,,75400,,,,81000,69800,,
paychex,PAYX,United States,business-analyst,,,149500,,,,161000,138000,,
paychex,PAYX,United States,technical-writer,,,84600,,,,91800,77400,,
paychex,PAYX,United States,software-engineering-manager,,,246500,,,,267000,226000,,
baker hughes,BKR,United States,software-engineer,,L3,140000,140000,0,0,,,2-4 Years,11+ Years
baker hughes,BKR,United States,marketing-operations,,,81150,,,,88100,74200,,
baker hughes,BKR,United States,information-technologist-it,,,135700,,,,145800,125600,,
baker hughes,BKR,United States,project-manager,,L1,99000,99000,0,0,,,5 Years,5 Years
baker hughes,BKR,United States,financial-analyst,,,28150,,,,30500,25800,,
baker hughes,BKR,United States,geological-engineer,,,68250,,,,74100,62400,,
baker hughes,BKR,United States,data-scientist,,,36800,,,,40300,33300,,
baker hughes,BKR,United States,accountant,,,95900,,,,103400,88400,,
baker hughes,BKR,United States,business-analyst,,,150750,,,,162000,139500,,
baker hughes,BKR,United States,marketing,,,91750,,,,98600,84900,,
onsemi,ON,United States,software-engineer,,Grade 10,100000,100000,0,0,,,3 Years,3 Years
onsemi,ON,United States,hardware-engineer,,12,149000,149000,0,0,,,15 Years,24 Years
onsemi,ON,United States,data-analyst,,,84400,,,,89900,78900,,
onsemi,ON,United States,electrical-engineer,,hidden,150000,137000,0,13000,,,11+ Years,11+ Years
onsemi,ON,United States,optical-engineer,,,204000,,,,220000,188000,,
onsemi,ON,United States,data-scientist,,,143300,,,,154100,132500,,
onsemi,ON,United States,chemical-engineer,,,119400,,,,128400,110400,,
onsemi,ON,United States,business-analyst,,,28950,,,,31200,26700,,
onsemi,ON,United States,marketing,,L1,100000,100000,0,0,,,5 Years,7 Years
onsemi,ON,United States,business-operations,,,117600,,,,127200,108000,,
marvell,MRVL,United States,software-engineer,1,"T1
Engineer
(Entry Level)",168000,140000,23500,5000,,,,
marvell,MRVL,United States,software-engineer,2,"T2
Senior Engineer",151000,127000,14700,10000,,,,
marvell,MRVL,United States,software-engineer,3,"T3
Staff Engineer",181000,144000,29200,7600,,,,
marvell,MRVL,United States,software-engineer,4,"T4
Senior Staff Engineer",219000,171000,27500,20000,,,,
marvell,MRVL,United States,software-engineer,5,"T5
Principal Engineer",298000,199000,80000,19000,,,,
marvell,MRVL,United States,software-engineer,6,"T6
Senior Principal Engineer",307000,202000,83300,21700,,,,
marvell,MRVL,United States,software-engineer,7,"T7
Distinguished Engineer",,,,,,,,
marvell,MRVL,United States,hardware-engineer,1,"T1
Engineer",106000,97800,4900,3400,,,,
marvell,MRVL,United States,hardware-engineer,2,"T2
Senior Engineer",143000,120000,13100,10000,,,,
marvell,MRVL,United States,hardware-engineer,3,"T3
Staff Engineer",187000,145000,24700,17100,,,,
marvell,MRVL,United States,hardware-engineer,4,"T4
Senior Staff Engineer",255000,181000,50400,23900,,,,
marvell,MRVL,United States,hardware-engineer,5,"T5
Principal Engineer",333000,205000,95400,32299,,,,
marvell,MRVL,United States,hardware-engineer,6,"T6
Senior Principal Engineer",433000,237000,146000,50400,,,,
marvell,MRVL,United States,hardware-engineer,7,"T7
Distinguished Engineer",,,,,,,,
marvell,MRVL,United States,information-technologist-it,,,447500,,,,481000,414000,,
marvell,MRVL,United States,electrical-engineer,1,T1,,,,,,,,
marvell,MRVL,United States,electrical-engineer,2,T2,132000,122000,5000,5000,,,,
marvell,MRVL,United States,electrical-engineer,3,T3,,,,,,,,
marvell,MRVL,United States,electrical-engineer,4,T4,,,,,,,,
marvell,MRVL,United States,electrical-engineer,5,T5,,,,,,,,
marvell,MRVL,United States,electrical-engineer,6,T6,,,,,,,,
marvell,MRVL,United States,electrical-engineer,7,T7,,,,,,,,
marvell,MRVL,United States,optical-engineer,1,T1,,,,,,,,
marvell,MRVL,United States,optical-engineer,2,T2,,,,,,,,
marvell,MRVL,United States,optical-engineer,3,T3,,,,,,,,
marvell,MRVL,United States,optical-engineer,4,T4,263000,181000,55000,27500,,,,
marvell,MRVL,United States,optical-engineer,5,T5,,,,,,,,
marvell,MRVL,United States,optical-engineer,6,T6,,,,,,,,
marvell,MRVL,United States,optical-engineer,7,T7,,,,,,,,
marvell,MRVL,United States,data-scientist,,,114500,,,,125000,104000,,
marvell,MRVL,United States,business-analyst,,,177500,,,,189000,166000,,
marvell,MRVL,United States,marketing,,,88250,,,,96600,79900,,
marvell,MRVL,United States,mechanical-engineer,,,106150,,,,115000,97300,,
marvell,MRVL,United States,product-designer,,-,240000,165000,50000,25000,,,2 Years,10 Years
workday,WDAY,United States,software-engineer,1,"P1
Software Engineer (SWE) I
(Entry Level)",139200,119700,12100,7400,,,,
workday,WDAY,United States,software-engineer,2,"P2
SWE II",173500,140700,23300,9500,,,,
workday,WDAY,United States,software-engineer,3,"P3
SWE III",222500,165900,46900,9700,,,,
workday,WDAY,United States,software-engineer,4,"P4
Senior SWE",300300,201200,81200,18000,,,,
workday,WDAY,United States,software-engineer,5,"P5
Principal SWE",375500,231400,114500,29500,,,,
workday,WDAY,United States,software-engineer,6,"P6
Senior Principal SWE",578600,265800,289000,23800,,,,
workday,WDAY,United States,cybersecurity-analyst,1,P1,,,,,,,,
workday,WDAY,United States,cybersecurity-analyst,2,P2,,,,,,,,
workday,WDAY,United States,cybersecurity-analyst,3,P3,193700,148700,40000,5000,,,,
workday,WDAY,United States,cybersecurity-analyst,4,P4,306200,193600,92300,20300,,,,
workday,WDAY,United States,cybersecurity-analyst,5,P5,,,,,,,,
workday,WDAY,United States,cybersecurity-analyst,6,P6,,,,,,,,
workday,WDAY,United States,sales,1,P1,134700,126300,8300,0,,,,
workday,WDAY,United States,sales,2,P2,145000,145000,0,0,,,,
workday,WDAY,United States,sales,3,P3,225500,160200,29300,36000,,,,
workday,WDAY,United States,sales,4,P4,179300,155300,17800,6300,,,,
workday,WDAY,United States,sales,5,P5,192500,105000,12500,75000,,,,
workday,WDAY,United States,sales,6,P6,313400,185900,85400,42000,,,,
workday,WDAY,United States,product-manager,1,"P1
Associate Product Manager",142600,116100,20900,5600,,,,
workday,WDAY,United States,product-manager,2,"P2
Senior Associate Product Manager",152900,121100,28400,3400,,,,
workday,WDAY,United States,product-manager,3,"P3
Product Manager",241700,172400,54100,15300,,,,
workday,WDAY,United States,product-manager,4,"P4
Senior Product Manager",273300,193400,60900,19100,,,,
workday,WDAY,United States,product-manager,5,"P5
Principal Product Manager",311000,206300,81900,22800,,,,
workday,WDAY,United States,product-manager,6,"P6
Senior Principal Product Manager",500900,235500,240000,25400,,,,
workday,WDAY,United States,data-scientist,1,"P1
Data Scientist I",,,,,,,,
workday,WDAY,United States,data-scientist,2,"P2
Data Scientist II",130000,111000,19000,0,,,,
workday,WDAY,United States,data-scientist,3,"P3
Data Scientist III",207300,136000,58000,13300,,,,
workday,WDAY,United States,data-scientist,4,"P4
Senior Data Scientist",283500,187400,83500,12600,,,,
workday,WDAY,United States,data-scientist,5,"P5
Principal Data Scientist",,,,,,,,
workday,WDAY,United States,data-scientist,6,"P6
Senior Principal Data Scientist",,,,,,,,
workday,WDAY,United States,program-manager,1,"P1
Associate PM",,,,,,,,
workday,WDAY,United States,program-manager,2,"P2
Senior Associate PM",138700,113500,14700,10500,,,,
workday,WDAY,United States,program-manager,3,"P3
Program Manager",189300,146200,31800,11400,,,,
workday,WDAY,United States,program-manager,4,"P4
Senior PM",246000,180300,48800,17000,,,,
workday,WDAY,United States,program-manager,5,"P5
Principal PM",260700,201700,30000,29000,,,,
workday,WDAY,United States,program-manager,6,"P6
Senior Principal PM",,,,,,,,
workday,WDAY,United States,business-analyst,1,"P1
Business Analyst I",,,,,,,,
workday,WDAY,United States,business-analyst,2,"P2
Business Analyst II",147000,120000,20000,7000,,,,
workday,WDAY,United States,business-analyst,3,"P3
Business Analyst III",157900,130800,15000,12200,,,,
workday,WDAY,United States,business-analyst,4,"P4
Senior Business Analyst",188200,155800,22100,10300,,,,
workday,WDAY,United States,business-analyst,5,"P5
Principal Business Analyst",336400,240100,69300,27000,,,,
workday,WDAY,United States,business-analyst,6,"P6
Senior Principal Business Analyst",,,,,,,,
workday,WDAY,United States,marketing,1,P1,,,,,,,,
workday,WDAY,United States,marketing,2,P2,,,,,,,,
workday,WDAY,United States,marketing,3,P3,145700,125000,12300,8300,,,,
workday,WDAY,United States,marketing,4,P4,219300,176700,30000,12700,,,,
workday,WDAY,United States,marketing,5,P5,255800,192500,43300,20000,,,,
workday,WDAY,United States,marketing,6,P6,,,,,,,,
workday,WDAY,United States,software-engineering-manager,1,"M2
Associate Manager",213300,173300,33300,6700,,,,
workday,WDAY,United States,software-engineering-manager,2,"M3
Manager",300400,212600,70000,17800,,,,
workday,WDAY,United States,software-engineering-manager,3,"M4
Senior Manager",405700,236700,143600,25400,,,,
workday,WDAY,United States,software-engineering-manager,4,"M5
Director",509800,262000,215000,32800,,,,
workday,WDAY,United States,software-engineering-manager,5,"M6
Senior Director",,,,,,,,
workday,WDAY,United States,software-engineering-manager,6,"M6.5
VP",,,,,,,,
workday,WDAY,United States,software-engineering-manager,7,"M7
SVP",,,,,,,,
workday,WDAY,United States,product-designer,1,"P1
Product Designer I",,,,,,,,
workday,WDAY,United States,product-designer,2,"P2
Product Designer II",152500,118300,28800,5400,,,,
workday,WDAY,United States,product-designer,3,"P3
Product Designer III",195700,144400,40200,11100,,,,
workday,WDAY,United States,product-designer,4,"P4
Senior Product Designer",309300,189700,101900,17700,,,,
workday,WDAY,United States,product-designer,5,"P5
Principal Product Designer",276900,199300,68300,9300,,,,
workday,WDAY,United States,product-designer,6,"P6
Senior Principal Product Designer",,,,,,,,
warner bros discovery,WBD,United States,software-engineer,1,"Software Engineer I
(Entry Level)",137000,126000,7100,3500,,,,
warner bros discovery,WBD,United States,software-engineer,2,Software Engineer II,166000,146000,9600,10500,,,,
warner bros discovery,WBD,United States,software-engineer,3,Senior Software Engineer,197000,170000,12100,14800,,,,
warner bros discovery,WBD,United States,software-engineer,4,Staff Software Engineer,307000,225000,48400,33900,,,,
warner bros discovery,WBD,United States,software-engineer,5,Senior Staff Software Engineer,278000,221000,28800,27800,,,,
warner bros discovery,WBD,United States,software-engineer,6,Principal Software Engineer,459000,312000,67300,80000,,,,
warner bros discovery,WBD,United States,solution-architect,,-,180000,180000,0,0,,,5 Years,17 Years
warner bros discovery,WBD,United States,marketing-operations,,-,120000,120000,0,0,,,2 Years,8 Years
warner bros discovery,WBD,United States,data-science-manager,,Senior Manager,205000,187000,0,18000,,,2 Years,14 Years
warner bros discovery,WBD,United States,recruiter,1,Recruiter I,,,,,,,,
warner bros discovery,WBD,United States,recruiter,2,Recruiter II,128000,128000,0,0,,,,
warner bros discovery,WBD,United States,recruiter,3,Senior Recruiter,,,,,,,,
warner bros discovery,WBD,United States,recruiter,4,Staff Recruiter,,,,,,,,
warner bros discovery,WBD,United States,recruiter,5,Senior Staff Recruiter,,,,,,,,
warner bros discovery,WBD,United States,recruiter,6,Principal Recruiter,,,,,,,,
warner bros discovery,WBD,United States,product-manager,1,Product Manager I,114000,102000,4000,7600,,,,
warner bros discovery,WBD,United States,product-manager,2,Product Manager II,132000,130000,0,1700,,,,
warner bros discovery,WBD,United States,product-manager,3,Senior Product Manager,210000,169000,22400,18300,,,,
warner bros discovery,WBD,United States,product-manager,4,Staff Product Manager,261000,206000,30000,25000,,,,
warner bros discovery,WBD,United States,product-manager,5,Senior Staff Product Manager,,,,,,,,
warner bros discovery,WBD,United States,product-manager,6,Principal Product Manager,441000,274000,100000,66500,,,,
warner bros discovery,WBD,United States,technical-program-manager,1,Technical Program Manager I,,,,,,,,
warner bros discovery,WBD,United States,technical-program-manager,2,Technical Program Manager II,155000,140000,7000,7500,,,,
warner bros discovery,WBD,United States,technical-program-manager,3,Senior Technical Program Manager,203000,169000,20800,13300,,,,
warner bros discovery,WBD,United States,technical-program-manager,4,Staff Technical Program Manager,330000,224000,66300,40000,,,,
warner bros discovery,WBD,United States,technical-program-manager,5,Senior Staff Technical Program Manager,,,,,,,,
warner bros discovery,WBD,United States,technical-program-manager,6,Principal Technical Program Manager,,,,,,,,
warner bros discovery,WBD,United States,data-scientist,1,Data Scientist I,124000,117000,2100,5000,,,,
